stopwords
i
me
my
myself
we
our
ours
ourselves
you
you're
you've
you'll
you'd
your
yours
yourself
yourselves
he
hey
him
his
himself
she
she's
her
hers
herself
it
it's
its
itself
they
them
their
theirs
themselves
what
which
who
whom
this
that
that'll
these
those
am
is
are
was
were
be
been
got

being
have
has
had
having
do
does
did
doing
a
an
us
get
im
shes
go
could
say
cant
want
the
and
but
if
or
because
as
until
while
of
at
by
for
with
about
against
between
into
through
during
before
after
above
below
to
from
up
down
in
out
on
off
over
under
again
further
then
once
here
there
when
where
why
how
all
any
both
each
few
more
most
other
some
such
no
nor
not
only
own
same
so
than
too
very
s
t
can
will
just
don
don't
should
should've
now
d
ll
m
o
re
ve
y
ain
aren
aren't
couldn
couldn't
didn
didn't
doesn
doesn't
hadn
hadn't
hasn
hasn't
haven
haven't
isn
isn't
ma
mightn
mightn't
mustn
mustn't
needn
needn't
shan
shan't
shouldn
shouldn't
wasn
wasn't
weren
weren't
won
won't
would
wouldn
wouldn't
might
getting
three
four
five
please
stuff
attempt
welcome
two
dc
also
favorite
talking
anything
join
made
known
around
week
best
like
never
come
always
podcast
really
however
although
though
hence
every
weekday
brings
morning
top
days
thought
free
radio
set
following
 hp 
 dc 
true
false
informed
places
think
 ever 
john
minute
context
weekly
daily
follow
biggest
one
hi
i’m
people
human
—
